Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
12346.0,325,12,77556.46,2,5,5,255,12,At Risk
12347.0,2,8,4921.53,5,4,5,545,14,Champions
12348.0,75,5,2019.4,3,4,4,344,11,Loyal Customers
12349.0,18,4,4428.69,5,3,5,535,13,Potential Loyalists
12350.0,310,1,334.4,2,1,2,212,5,Hibernating
12351.0,375,1,300.93,2,1,2,212,5,Hibernating
12352.0,36,10,2849.84,4,5,4,454,13,Champions
12353.0,204,2,406.76,2,2,2,222,6,Hibernating
12354.0,232,1,1079.4,2,1,3,213,6,Others
12355.0,214,2,947.61,2,2,3,223,7,Others
12356.0,22,6,6371.73,4,4,5,445,13,Champions
12357.0,33,3,18287.66,4,3,5,435,12,Potential Loyalists
12358.0,1,5,3887.07,5,4,5,545,14,Champions
12359.0,57,10,8873.39,4,5,5,455,14,Champions
12360.0,52,8,4252.89,4,4,5,445,13,Champions
12361.0,287,4,511.25,2,3,2,232,7,Others
12362.0,3,11,5356.23,5,5,5,555,15,Champions
12363.0,109,2,552.0,3,2,2,322,7,Others
12364.0,7,4,1313.1,5,3,4,534,12,Potential Loyalists
12365.0,291,2,641.38,2,2,3,223,7,Others
12366.0,633,1,500.24,1,1,2,112,4,Hibernating
12367.0,4,1,168.9,5,1,1,511,7,Others
12368.0,628,1,917.6999999999999,1,1,3,113,5,Others
12369.0,413,3,1791.15,1,3,4,134,8,At Risk
12370.0,51,7,4316.56,4,4,5,445,13,Champions
12371.0,44,5,4067.38,4,4,5,445,13,Champions
12372.0,71,3,1298.04,3,3,4,334,10,Others
12373.0,311,3,1127.65,2,3,3,233,8,At Risk
12374.0,25,4,2989.2200000000003,4,3,5,435,12,Potential Loyalists
12375.0,10,2,457.5,5,2,2,522,9,Potential Loyalists
12376.0,389,2,503.15,2,2,2,222,6,Hibernating
12377.0,315,4,3426.32,2,3,5,235,10,At Risk
12378.0,129,2,5416.32,3,2,5,325,10,Others
12379.0,81,4,1620.22,3,3,4,334,10,Others
12380.0,21,11,9676.300000000001,4,5,5,455,14,Champions
12381.0,4,5,1845.31,5,4,4,544,13,Champions
12383.0,184,5,1850.56,3,4,4,344,11,Loyal Customers
12384.0,28,2,585.27,4,2,2,422,8,Potential Loyalists
12385.0,379,1,1938.4,2,1,4,214,7,Others
12386.0,337,2,401.9,2,2,2,222,6,Hibernating
12387.0,415,1,143.94,1,1,1,111,3,Hibernating
12388.0,15,8,3901.11,5,4,5,545,14,Champions
12389.0,402,3,1433.33,2,3,4,234,9,At Risk
12390.0,79,1,549.84,3,1,2,312,6,Others
12391.0,21,6,2724.84,4,4,4,444,12,Champions
12392.0,591,1,234.75000000000003,1,1,1,111,3,Hibernating
12393.0,72,6,2399.4500000000003,3,4,4,344,11,Loyal Customers
12394.0,63,2,1272.48,3,2,4,324,9,Others
12395.0,19,15,4721.17,5,5,5,555,15,Champions
12396.0,674,1,931.43,1,1,3,113,5,Others
12397.0,35,2,2409.9,4,2,4,424,10,Potential Loyalists
12398.0,45,1,1635.6599999999999,4,1,4,414,9,Potential Loyalists
12399.0,119,7,1962.3,3,4,4,344,11,Loyal Customers
12400.0,414,1,205.25,1,1,1,111,3,Hibernating
12401.0,303,1,84.3,2,1,1,211,4,Hibernating
12402.0,323,6,1256.9,2,4,4,244,10,At Risk
12403.0,49,2,1019.36,4,2,3,423,9,Potential Loyalists
12404.0,682,1,63.24,1,1,1,111,3,Hibernating
12405.0,148,1,1710.39,3,1,4,314,8,Others
12406.0,22,5,6390.36,4,4,5,445,13,Champions
12407.0,49,5,1708.1200000000001,4,4,4,444,12,Champions
12408.0,32,8,4340.7699999999995,4,4,5,445,13,Champions
12409.0,78,7,23419.29,3,4,5,345,12,Loyal Customers
12410.0,308,3,1013.71,2,3,3,233,8,At Risk
